Phrase_ID,en,es,pt,fr,it,ko,,
narrower,Sub-Class Of,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
section4,Section 4: Vocabulary Encoding Schemes,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
term_ves,Sub-Concept Name,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
concept_section0,Section 5: Economic Activities/Sectors VES,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
term_concept,Concept Name,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
pref_label,Preferred Label,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
alt_label,Alternative Label,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
scope_note,Scope Note,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
in_scheme,In Scheme,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
broader,Super-Class Of,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
concept_section1,Section 5.1: Economic Activities/Sectors (Modified) VES,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
concept_section2,Section 5.2: Economic Activities/Sectors (ICA - L2) VES,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
concept_section3,Section 6: Legal Form VES,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
concept_section4,Section 6.1 Organisational Structure VES,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
concept_section5,Section 6.2 Base Membership Type VES,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
concept_section6,Section 7: Qualifiers VES,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
concept_section7,Section 8: Type of Labour VES,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
section9,Section 9: References,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
